Step,Avg Distance to Center,Collisions,With Predator
0,98.57638871379156,0,0
1,98.47471276680704,2,0
2,98.30563120469606,2,0
3,98.08346705583169,2,0
4,97.81021147597639,2,0
5,97.49339360361063,2,0
6,97.13175823346324,2,0
7,96.72653374752812,2,0
8,96.27757133234539,2,0
9,95.78355039286339,1,0
10,95.24351303825866,1,0
11,94.6581055533418,1,0
12,94.02544330243738,1,0
13,93.34819360992523,1,0
14,92.62483064279436,1,0
15,91.85673989502844,0,0
16,91.04763058591526,0,0
17,90.19810105976822,1,0
18,89.30832596909447,1,0
19,88.38121696356589,0,0
20,87.42333016053323,0,0
21,86.43728756493591,0,0
22,85.42601140742472,0,0
23,84.39012709551346,0,0
24,83.33075781243868,1,0
25,82.24871689289058,2,0
26,81.14586027133099,2,0
27,80.02393107403734,2,0
28,78.88087933377196,4,0
29,77.71787015534306,4,0
30,76.53638663188876,3,0
31,75.33577534033256,3,0
32,74.11528065883866,3,0
33,72.87299884826051,4,0
34,71.61188659123764,3,0
35,70.33257548117767,4,0
36,69.03414335240768,5,0
37,67.71622339221327,5,0
38,66.38042814546307,5,0
39,65.03157951390335,6,0
40,63.67374378572845,5,0
41,62.31127423077205,4,0
42,60.947723863636604,4,0
43,59.58017308053987,4,0
44,58.20831276363556,4,0
45,56.83184627917833,5,0
46,55.45166154870688,7,0
47,54.06981129958681,7,0
48,52.690263322515094,7,0
49,51.31939039191372,7,0
50,49.96298938290032,8,0
51,48.6448597429414,8,0
52,47.38496610718634,7,0
53,46.154717308596666,7,0
54,44.96240449615105,7,0
55,43.817417548793834,7,0
56,42.71714640480862,5,0
57,41.65785829662186,5,0
58,40.63839602586631,6,0
59,39.65916390555269,7,0
60,38.71917527396503,6,0
61,37.81590043597891,7,0
62,36.948416119873556,9,0
63,36.113275497372065,7,0
64,35.30738900721315,6,0
65,34.530046579198455,10,0
66,33.78190506101758,12,0
67,33.06256180437173,12,0
68,32.372259424018736,15,0
69,31.71321180985222,16,0
70,31.08583470113125,15,0
71,30.491363773238387,15,0
72,29.933795643227764,15,0
73,29.417946107143553,13,0
74,28.94189722271405,11,0
75,28.502987201821814,13,0
76,28.104437763806615,13,0
77,27.727171514107454,12,0
78,27.357608243313884,13,0
79,26.987663587878778,15,0
80,26.61494682608681,14,0
81,26.24091380809664,19,0
82,25.865353391304915,21,0
83,25.51901514326192,19,0
84,25.177058532477187,28,0
85,24.82301915952277,26,0
86,24.458320679883848,29,0
87,24.08445701210025,28,0
88,23.70284647827906,32,0
89,23.317698786047938,35,0
90,22.932849227270406,34,0
91,22.575720261122676,38,0
92,22.284632712613448,36,0
93,22.016356464795667,34,0
94,21.757282578134962,36,0
95,21.515415398277312,34,0
96,21.31582694144831,36,0
97,21.150651091046385,34,0
98,21.028298627688255,41,0
99,20.96975975459225,47,0
100,20.932870688811704,49,0
101,20.905407908577793,53,0
