Step,Avg Distance to Center,Collisions,With Predator
0,92.15110799881494,0,0
1,92.24609989300622,1,0
2,92.28908563968814,1,0
3,92.28617141373594,1,0
4,92.25322452180212,1,0
5,92.19023307893637,0,0
6,92.09828509664261,0,0
7,91.98073671302383,0,0
8,91.83920945006463,0,0
9,91.67672492284632,0,0
10,91.4928378924344,0,0
11,91.28818291729678,0,0
12,91.06185237643935,0,0
13,90.81701151185422,0,0
14,90.55879805692105,0,0
15,90.28854125061191,0,0
16,90.0087569609792,0,0
17,89.72182282303005,0,0
18,89.42712869297809,0,0
19,89.12293159794982,0,0
20,88.81007897942862,0,0
21,88.49019277543479,0,0
22,88.16794323428813,0,0
23,87.84611434522598,0,0
24,87.52750854384387,0,0
25,87.21058424137878,0,0
26,86.89628834517292,0,0
27,86.58390071369536,0,0
28,86.27509646836,0,0
29,85.97003543998693,0,0
30,85.66883157406055,0,0
31,85.37547578520929,0,0
32,85.0878371184896,0,0
33,84.80921261301823,0,0
34,84.54065166468862,0,0
35,84.2802552660491,0,0
36,84.02702734498938,0,0
37,83.77815270826622,0,0
38,83.53303823931095,0,0
39,83.2914028550999,0,0
40,83.05608585619153,0,0
41,82.8280191944741,0,0
42,82.60673535534701,1,0
43,82.39284237615963,1,0
44,82.18556397830653,1,0
45,81.9817184555843,1,0
46,81.77791499302661,1,0
47,81.57516284563717,0,0
48,81.37348839440173,0,0
49,81.17503317515916,0,0
50,80.9816101704743,1,0
51,80.79362615571152,1,0
52,80.61108707028805,2,0
53,80.43640933345937,2,0
54,80.26648984283766,2,0
55,80.09756661878781,2,0
56,79.92639052258414,2,0
57,79.75521060377173,0,0
58,79.5846863277074,0,0
59,79.41318857346566,1,0
60,79.24160699952259,1,0
61,79.06761116003264,1,0
62,78.89367609883428,1,0
63,78.72018612220452,1,0
64,78.5481772523169,1,0
65,78.37628423239498,0,0
66,78.20361406768147,0,0
67,78.02949825984146,0,0
68,77.85477298283429,0,0
69,77.67920199679871,1,0
70,77.50237816774617,2,0
71,77.32381583631687,2,0
72,77.14283200902145,2,0
73,76.96121425507744,2,0
74,76.79113031133666,2,0
75,76.6373438373378,2,0
76,76.48961486513011,2,0
77,76.34538137489386,2,0
78,76.20415999963038,2,0
79,76.06713452044423,2,0
80,75.93429451528067,2,0
81,75.80831933847921,3,0
82,75.69310670137742,3,0
83,75.58891446778757,3,0
84,75.49448648094462,3,0
85,75.40735182677629,3,0
86,75.32311723050671,3,0
87,75.2404237496943,3,0
88,75.15875091459215,2,0
89,75.0788062969542,2,0
90,75.00033550958793,1,0
91,74.92340679083931,1,0
92,74.84743430323873,1,0
93,74.77417141987053,1,0
94,74.702252866381,1,0
95,74.6317773196031,1,0
96,74.56192542079644,1,0
97,74.49147370047848,1,0
98,74.42108527007215,1,0
99,74.3512665805838,1,0
100,74.27910685679282,1,0
101,74.20534649177253,1,0
102,74.13074768068252,1,0
103,74.05520419488477,1,0
104,73.97881367800677,1,0
105,73.90240183758748,1,0
106,73.8264965901897,1,0
107,73.75117974877757,1,0
108,73.6761677694686,1,0
109,73.60047571755727,2,0
110,73.52320183850797,2,0
111,73.4439291607304,3,0
112,73.36276730598746,3,0
113,73.28142532729072,2,0
114,73.19985416758594,2,0
115,73.11880160835622,2,0
116,73.03866293864544,2,0
117,72.9592199854079,2,0
118,72.87814621518442,2,0
