Step,Avg Distance to Center,Collisions,With Predator
0,94.72697909365458,0,0
1,94.73796819542905,1,0
2,94.67027489995506,0,0
3,94.55905977946416,0,0
4,94.41457228819513,0,0
5,94.24063999990116,0,0
6,94.04000298658583,0,0
7,93.81577209668349,0,0
8,93.56457749614279,0,0
9,93.29212804671897,0,0
10,92.99542156712315,0,0
11,92.68125354509449,0,0
12,92.35495432048597,0,0
13,92.01816897774478,0,0
14,91.66964890935823,0,0
15,91.309500791381,0,0
16,90.93807155696784,0,0
17,90.55755891644864,0,0
18,90.16864206992453,0,0
19,89.7677428320787,0,0
20,89.35403208339793,0,0
21,88.92534700626297,0,0
22,88.48067013183699,0,0
23,88.02307494237455,0,0
24,87.55460527674519,0,0
25,87.07573197080102,0,0
26,86.58226721386613,0,0
27,86.07492697166816,0,0
28,85.55207987515028,0,0
29,85.0156135670327,0,0
30,84.46673666365908,0,0
31,83.90624433002603,0,0
32,83.33475012329068,0,0
33,82.75716486745976,0,0
34,82.17064582400035,0,0
35,81.56874193745418,0,0
36,80.95215537686376,0,0
37,80.32677309586626,0,0
38,79.69069339757372,0,0
39,79.0442304170658,0,0
40,78.38856118226434,0,0
41,77.7248186686877,0,0
42,77.05390127063073,0,0
43,76.37947873402845,0,0
44,75.69861539502381,0,0
45,75.00814703238,0,0
46,74.30685483175309,0,0
47,73.59276587895293,0,0
48,72.86612388527219,0,0
49,72.12490619983681,0,0
50,71.37073619357979,0,0
51,70.60367107039447,0,0
52,69.8260108553446,0,0
53,69.03902280561888,0,0
54,68.2410029248353,0,0
55,67.43597553118768,0,0
56,66.62456085800355,0,0
57,65.80639274408408,0,0
58,64.98204567041275,0,0
59,64.15243142449373,0,0
60,63.32090886185465,0,0
61,62.4887931310573,0,0
62,61.66098255118782,0,0
63,60.83644551545206,0,0
64,60.01164197058173,0,0
65,59.18709327118172,0,0
66,58.36055710680193,0,0
67,57.533178194599714,0,0
68,56.70982713680704,0,0
69,55.89730736463529,0,0
70,55.098214335827485,0,0
71,54.30704956223236,0,0
72,53.521832888928365,0,0
73,52.741735029439596,0,0
74,51.963572789869495,0,0
75,51.190137171586265,0,0
76,50.41941306089593,0,0
77,49.65011921115306,0,0
78,48.886174016068225,0,0
79,48.12389346602624,0,0
80,47.36843077188338,0,0
81,46.62450313542381,0,0
82,45.89287079051783,0,0
83,45.17544193446001,0,0
84,44.472000935268554,0,0
85,43.780679889731616,0,0
86,43.13423269083231,0,0
87,42.58764402395027,0,0
88,42.083796487802005,0,0
89,41.60743155658641,0,0
90,41.1538603589946,0,0
91,40.72200278303752,0,0
92,40.311710876518084,0,0
93,39.92112234298089,0,0
94,39.55726241255283,0,0
95,39.22147782983653,0,0
96,38.91658531276668,0,0
97,38.63874593470247,0,0
98,38.38878294532917,0,0
99,38.17049586577757,0,0
100,37.988528329061,0,0
101,37.84505424566781,0,0
102,37.737411516753745,0,0
103,37.66029769558087,0,0
104,37.60444731242594,0,0
105,37.577212640213155,0,0
106,37.57305036897391,0,0
107,37.580025122423045,0,0
108,37.594433222684046,0,0
109,37.616047683075,0,0
110,37.64441234142259,0,0
111,37.67784142185677,0,0
112,37.71432847477208,0,0
113,37.75900976175613,0,0
114,37.80693660985913,0,0
115,37.85573228137229,0,0
116,37.90572111620213,1,0
117,37.945098577310844,1,0
118,37.97934230619072,2,0
119,38.010208149830675,2,0
120,38.03920866831847,2,0
121,38.06317805001875,1,0
122,38.083186017688476,1,0
123,38.09769730468281,1,0
124,38.11130111011497,1,0
125,38.14149952557077,1,0
126,38.19885506361886,0,0
127,38.29571366898734,0,0
128,38.44001312821634,0,0
129,38.620383004258535,0,0
130,38.83145725714315,1,0
131,39.06675311966415,1,0
132,39.318710824851415,2,0
133,39.584174108782605,1,0
134,39.86184573470348,1,0
135,40.150390884839695,1,0
136,40.44547381494744,0,0
137,40.7537601893204,0,0
138,41.07442625807166,0,0
139,41.407229290128505,1,0
140,41.74741024037362,1,0
141,42.09488078621995,1,0
142,42.457399753104596,1,0
143,42.83628031782898,1,0
144,43.22769306260725,1,0
145,43.62858858999554,1,0
146,44.04176346941063,1,0
147,44.463115132130596,1,0
148,44.893145519320065,1,0
149,45.328301593297915,0,0
150,45.760936977685,0,0
151,46.19554499753848,0,0
152,46.638466506965685,0,0
153,47.100760082631524,0,0
154,47.57642233643558,0,0
155,48.055946286615224,0,0
156,48.54049646900032,0,0
157,49.0337373338305,0,0
158,49.53834602383264,1,0
159,50.05509014769932,1,0
160,50.58288113472851,1,0
161,51.11798897336519,1,0
162,51.652802541126235,1,0
163,52.18808752695275,1,0
164,52.721829578972255,0,0
165,53.245485934872626,0,0
166,53.7588767510182,0,0
167,54.26596470569443,0,0
168,54.76924777821507,0,0
