Step,Avg Distance to Center,Collisions,With Predator
0,91.74593769590571,0,0
1,91.55706204669397,0,0
2,91.20345380231241,0,0
3,90.70211949437454,0,0
4,90.05392454581684,0,0
5,89.25787165262732,0,0
6,88.3148439909963,0,0
7,87.24940811629138,0,0
8,86.07379843446118,0,0
9,84.7937129382639,0,0
10,83.41184799703541,0,0
11,81.93544305297411,0,0
12,80.37820467255527,0,0
13,78.75284332952427,0,0
14,77.07721639387744,0,0
15,75.37413038578971,0,0
16,73.65366847767864,0,0
17,71.92446579224685,0,0
18,70.1900499718783,0,0
19,68.45733128361789,0,0
20,66.72750458876777,0,0
21,64.99870615517736,0,0
22,63.27160365864286,0,0
23,61.54604987346227,0,0
24,59.824403620277096,0,0
25,58.10888409612628,0,0
26,56.40246029243894,0,0
27,54.708873398440126,0,0
28,53.03339954746424,1,0
29,51.37963150631004,1,0
30,49.75360236637018,1,0
31,48.16053849925641,1,0
32,46.60591014735026,0,0
33,45.09237195339945,0,0
34,43.61898823515181,0,0
35,42.18497858104114,2,0
36,40.79120707420836,3,0
37,39.43794755224236,3,0
38,38.12491305893714,3,0
39,36.851053916968155,4,0
40,35.615850441452295,4,0
41,34.42235412668595,7,0
42,33.27462704064664,9,0
43,32.17781639656364,7,0
44,31.134804034402958,6,0
45,30.141555712165076,6,0
46,29.19097463544488,5,0
47,28.28217396269753,8,0
48,27.426082337213632,10,0
49,26.648719050867115,12,0
50,25.961770908576796,11,0
51,25.322367103759667,12,0
52,24.70619625916208,11,0
53,24.106333099718643,12,0
54,23.521466656151837,11,0
55,22.950207378953632,9,0
56,22.392405787406215,12,0
57,21.849815175583014,15,0
58,21.329363721719524,14,0
59,20.86895198514362,16,0
60,20.502289846337746,12,0
61,20.18617575214987,11,0
62,19.958970408973165,11,0
63,19.795561845124908,14,0
64,19.64557244289184,14,0
65,19.497809308718175,13,0
66,19.34902067623019,12,0
67,19.198955981413196,10,0
68,19.0510735837073,11,0
69,18.911373992312058,8,0
70,18.77860307813921,9,0
71,18.647158795941106,9,0
72,18.51237322552048,10,0
73,18.372926819295458,10,0
74,18.229258799554376,9,0
75,18.08394234541102,8,0
76,17.93839144866785,10,0
77,17.7933672206238,10,0
78,17.64638469679533,9,0
79,17.496668327321103,8,0
80,17.34501008030424,8,0
81,17.183553034715683,7,0
82,17.002280567669274,6,0
83,16.79291375000717,7,0
84,16.549104115221954,8,0
85,16.265674893870177,9,0
86,15.93901784305832,13,0
87,15.565834053485336,14,0
88,15.142579114807416,15,0
89,14.66702424517619,16,0
90,14.142203126020643,20,0
91,13.574555238589966,24,0
92,12.979147491583676,24,0
93,12.375536020984827,27,0
94,11.779150611726172,32,0
95,11.193357235072535,37,0
96,10.615786318604513,39,0
97,10.070425327482042,40,0
98,9.60836189249631,44,0
99,9.200044650469415,51,0
100,8.866250447643562,60,0
101,8.63690516555849,66,0
102,8.460544345569472,70,0
103,8.371127800305624,77,0
104,8.384140060435803,77,0
105,8.451895860121816,78,0
106,8.512397718426904,69,0
107,8.555060336358277,60,0
108,8.575716113244471,61,0
109,8.639898096132946,64,0
110,8.774133519488688,61,0
111,8.873736387439713,58,0
112,8.939951678858419,54,0
113,8.97737018166756,46,0
114,8.991780047315581,46,0
115,8.980062773561286,45,0
116,8.939525768534462,45,0
117,8.870742229068576,46,0
118,8.775800004516757,50,0
119,8.65763176529412,50,0
120,8.521790972918774,51,0
121,8.374742494121994,52,0
122,8.220387797646492,53,0
123,8.060797054495463,58,0
124,7.897758378914748,64,0
125,7.7373473231070165,68,0
126,7.590949108834235,74,0
127,7.456096412670812,77,0
128,7.328576978977242,81,0
129,7.209379472085994,83,0
130,7.099793522935431,88,0
131,7.0013974837402,93,0
132,6.917079278003338,99,0
133,6.8450272914712995,105,0
134,6.77976619699968,109,0
135,6.718930508566501,115,0
136,6.662105782923423,118,0
137,6.609509720508158,119,0
138,6.56159336483648,120,0
139,6.518516194181746,121,0
140,6.479878815824994,123,0
141,6.445251367251348,126,0
142,6.4147588666157445,127,0
143,6.38835826523035,130,0
144,6.3656884523727735,132,0
145,6.3465273699537175,133,0
146,6.330988071965639,135,0
147,6.319324074784993,136,0
148,6.310868430825763,137,0
149,6.303898978124724,137,0
150,6.29734977925972,137,0
151,6.290584413485103,137,0
152,6.283241519940682,138,0
153,6.275178199352971,138,0
154,6.266438652810038,138,0
155,6.257232523617209,138,0
156,6.247931053569702,138,0
157,6.239073061242194,138,0
158,6.231352402902804,138,0
159,6.225007526665717,139,0
160,6.219167694961137,140,0
161,6.213646589960372,140,0
162,6.208511846865161,140,0
163,6.204008977569399,139,0
164,6.200519498921795,139,0
165,6.197816643986268,139,0
166,6.195450606748847,139,0
167,6.193309797614258,139,0
168,6.19151114391271,139,0
169,6.190352827489581,139,0
170,6.189818096142797,139,0
171,6.189468039174471,139,0
172,6.1895361197557985,139,0
173,6.1900845956468,139,0
174,6.190604948727873,141,0
175,6.190964994347525,141,0
176,6.191290675369626,141,0
177,6.191916142160404,141,0
178,6.19275487386864,141,0
179,6.193452006735862,141,0
180,6.1943677327848174,141,0
181,6.195513563080608,141,0
182,6.196444640825414,141,0
183,6.197085874734587,140,0
184,6.197595050738426,140,0
185,6.198279562988097,140,0
186,6.198893313174394,141,0
187,6.1990336898354546,141,0
188,6.1988722229800395,140,0
189,6.198581606942517,140,0
190,6.197992301474298,141,0
191,6.197319871246847,141,0
192,6.196873458380951,141,0
193,6.196772220140493,141,0
194,6.196764055286495,141,0
195,6.196985326745065,141,0
196,6.197294141637894,140,0
197,6.197598143511237,140,0
198,6.198017169658759,141,0
199,6.198472193637498,141,0
200,6.1989590400464465,141,0
201,6.199472400110571,141,0
202,6.19992505655815,141,0
203,6.200416039064425,142,0
204,6.200920171744463,142,0
205,6.201448554593609,143,0
206,6.201978824922309,143,0
207,6.202478384710674,143,0
208,6.2030197407221825,143,0
209,6.203572345837719,143,0
210,6.204150232610056,143,0
211,6.204714367877819,143,0
212,6.205283522410911,143,0
213,6.2058767737224265,143,0
214,6.2064852823102346,142,0
215,6.207094178116547,143,0
216,6.207697506378522,143,0
217,6.208317935824024,143,0
218,6.2089493604834445,143,0
219,6.209583383943869,143,0
220,6.210208977246691,143,0
221,6.210838642689406,144,0
222,6.211472296051524,144,0
223,6.21210285788581,144,0
224,6.212720573040581,144,0
225,6.213330874157962,144,0
226,6.21393684685397,145,0
227,6.214533668812917,145,0
228,6.2151143065521515,145,0
229,6.215679941501003,145,0
230,6.216234876637284,145,0
231,6.216777310982149,145,0
232,6.2173029543400755,145,0
233,6.217811885863338,145,0
234,6.218308224327411,145,0
235,6.2187922364944335,145,0
236,6.219261393000656,145,0
237,6.219715215715738,145,0
238,6.220156720211567,145,0
239,6.220587001726712,145,0
240,6.2210045471089375,145,0
241,6.221408596666383,145,0
242,6.221801748411928,146,0
243,6.222185204266889,146,0
244,6.2225581296055195,146,0
245,6.222919771226428,146,0
246,6.2232713034879845,146,0
247,6.223614115125935,146,0
248,6.223948201116112,146,0
249,6.224273298299507,146,0
250,6.224590422687055,146,0
251,6.224901100033404,146,0
252,6.225205959530489,146,0
253,6.225505188325958,146,0
254,6.225799707885477,146,0
255,6.2260909526148,146,0
256,6.226379793085941,146,0
257,6.226666584590514,146,0
258,6.22695200967575,146,0
259,6.2272371488210085,146,0
260,6.227522736256992,146,0
261,6.227809007806415,146,0
262,6.2280962664643535,146,0
263,6.228385084819316,146,0
264,6.228675838254684,146,0
265,6.228968483591382,146,0
266,6.229262912347401,146,0
267,6.22955918981319,146,0
268,6.229857294118765,146,0
269,6.2301568985406455,146,0
270,6.23045757280161,146,0
271,6.2307590064346465,146,0
272,6.231060885705452,146,0
273,6.231362711075083,146,0
274,6.231663895461661,146,0
275,6.231963946394769,146,0
276,6.232262425054751,146,0
277,6.232558806060461,146,0
278,6.232854847090211,146,0
279,6.233149850858664,146,0
280,6.233443195289394,146,0
281,6.233734237412335,146,0
282,6.23402232931918,146,0
283,6.234306913170392,146,0
284,6.234587530424989,146,0
285,6.234863751124555,146,0
286,6.235135161729222,146,0
287,6.235401423137512,146,0
288,6.235662286452902,146,0
289,6.235917543136806,146,0
290,6.236167001095524,146,0
291,6.236410517455636,146,0
292,6.2366480165720315,146,0
293,6.236879459170447,146,0
294,6.237104818134267,146,0
295,6.237324095927773,146,0
296,6.237537341927024,146,0
297,6.237744635410467,146,0
298,6.237946064571242,146,0
299,6.2381417334973746,146,0
300,6.238331775723997,146,0
301,6.238516345222956,146,0
302,6.238695599038021,146,0
303,6.238869697510448,146,0
304,6.239038813536097,146,0
305,6.239203128445766,146,0
306,6.239362819018349,146,0
307,6.239518054888842,146,0
308,6.239669005035406,146,0
309,6.2398158373130865,146,0
310,6.239958710229114,146,0
311,6.2400977701684495,146,0
312,6.240233156301747,146,0
313,6.2403650024635215,146,0
314,6.240493432794029,146,0
315,6.24061855956809,146,0
316,6.240740486802985,146,0
317,6.240859313035571,146,0
318,6.240975129433704,146,0
319,6.241088018204414,146,0
320,6.2411980550252055,146,0
321,6.241305311803325,146,0
322,6.241409856202479,146,0
323,6.241511750541911,146,0
324,6.241611053304557,146,0
325,6.24170782146119,146,0
326,6.241802110691544,146,0
327,6.241893974609615,146,0
328,6.2419834655181825,146,0
329,6.242070636055902,146,0
330,6.242155539551043,146,0
331,6.2422382293302725,146,0
332,6.24231875881281,146,0
333,6.242397182400708,146,0
334,6.242473555655801,146,0
335,6.242547934582421,146,0
336,6.242620375258863,146,0
337,6.242690934135709,146,0
338,6.242759668032542,146,0
339,6.242826633476726,146,0
340,51.06846206319303,146,0
341,51.06811664954392,145,0
342,98.13029076926244,145,0
343,182.1307912389325,144,0
344,182.13535005415457,144,0
345,219.06207719734164,143,0
346,282.48128676415485,140,0
347,351.22087945027306,134,0
348,367.1175512732796,128,0
349,393.82433992148174,126,0
350,367.5088491786368,114,0
351,309.4311722574791,109,0
352,253.11326759831186,118,0
353,142.23195009562605,122,0
354,51.03118969853684,133,0
355,51.031525033588906,144,0
356,51.03178948477212,145,0
357,51.03200808687419,145,0
358,6.053222359504307,144,0
359,6.046677940068856,145,0
360,6.043166738961952,146,0
361,6.04279117116374,146,0
362,6.044338793334631,146,0
363,6.046486339134003,146,0
364,6.048532968458622,146,0
365,6.0500675537012345,146,0
366,6.050815301594262,146,0
367,6.050788955731705,145,0
368,6.05125758436625,145,0
369,6.054127563670848,145,0
370,6.057904891808399,143,0
371,6.061535376863073,143,0
372,6.064758230843143,143,0
373,6.067585698257715,142,0
374,6.070207205927234,142,0
375,6.072973299926568,142,0
376,6.07621636731644,142,0
377,6.079768016371534,142,0
378,6.084082477367867,141,0
379,6.089515961172666,139,0
380,6.094976473003489,139,0
381,6.099766749106241,138,0
382,6.103675675034776,138,0
383,6.10675148476137,139,0
384,6.10922451084229,140,0
385,6.11140839584472,140,0
386,6.113494243459191,140,0
387,6.115466554680967,140,0
388,6.117285165515079,140,0
389,6.118991388642372,140,0
390,6.120645502168437,139,0
391,6.122202416603418,139,0
392,6.123521573203415,139,0
393,6.124486040516602,139,0
394,6.125068920569636,139,0
395,6.125331984891873,139,0
396,6.125390552263558,139,0
397,6.125362623665517,139,0
398,6.125326109516757,139,0
399,6.125312340557872,139,0
400,6.1253254212706185,139,0
401,6.1253507301398855,139,0
402,6.1253532428738415,139,0
403,6.12528955003662,139,0
404,6.1251313859719705,139,0
405,6.124881732116031,139,0
406,6.124574996307113,139,0
407,6.124264334644009,139,0
408,6.124003424150071,139,0
409,6.123831140771464,139,0
410,6.123765037077402,139,0
411,6.123802859877799,139,0
412,6.123927356997332,139,0
413,6.124112051711597,139,0
414,6.124328279250063,139,0
415,6.124552458764162,139,0
416,6.124770915141971,139,0
417,6.124980458258476,139,0
418,6.125185136303553,139,0
419,6.125391215765563,139,0
420,6.125602746297784,139,0
421,6.125819151764707,139,0
422,6.126034976176702,139,0
423,6.126241181559548,139,0
424,6.126427365703877,139,0
425,6.126584325211267,139,0
426,6.126706253361707,138,0
427,6.126791848836541,138,0
428,6.1268439739015985,138,0
429,6.126868077774664,138,0
430,6.126870050740371,138,0
431,6.126854278276413,138,0
432,38.63904929670314,138,0
433,38.636842785980186,138,0
434,38.633817896229,138,0
435,38.630082312121125,138,0
436,38.62576700959375,138,0
437,38.62130767308515,138,0
438,38.61679125373748,138,0
439,38.61202508310144,138,0
440,136.7761282560418,138,0
441,164.41043135342673,130,0
442,211.9238236746238,130,0
443,248.92358233395427,124,0
444,263.4829021089023,119,0
445,296.79299148184515,119,0
446,284.9879302360425,106,0
447,232.19951717768674,110,0
448,164.88456633407927,122,0
449,106.86352185975103,125,0
450,38.879592544161284,133,0
451,38.876517534234736,145,0
452,38.873329251920744,145,0
453,38.87009928973478,145,0
454,6.037675134976998,146,0
455,6.024914590065352,146,0
456,6.01606758243754,147,0
457,6.010460636248006,147,0
458,6.006566077669379,145,0
459,6.004820454334487,146,0
460,6.005014904232493,146,0
461,6.006165583259941,146,0
462,6.00739958233366,146,0
463,6.009897873094024,145,0
464,6.012945532830374,145,0
465,6.015192577257684,145,0
466,6.016759140130044,145,0
467,6.017951815907122,145,0
468,6.018974393073645,144,0
469,6.020279419953937,144,0
470,6.022639398081452,144,0
471,6.026037464874518,144,0
472,6.029863747692923,143,0
473,6.0337672028010685,143,0
474,6.037616548558298,143,0
475,6.041552788313529,143,0
476,6.045934149614575,143,0
477,6.050562926371174,143,0
478,6.0548486031622,143,0
479,6.0584910032646215,143,0
480,6.061479045900985,143,0
481,6.063967729541319,143,0
482,6.066178673735199,142,0
483,6.0683197058747105,142,0
484,6.070524974456242,142,0
485,6.07252328834797,142,0
486,6.073961324594802,141,0
487,6.07471136500492,141,0
488,6.074837341421203,141,0
489,6.074546170162723,141,0
490,6.074144244501778,141,0
491,6.0739066007349205,141,0
492,6.073951939511281,141,0
493,6.074257789983567,141,0
494,6.074745087941838,141,0
495,6.0753300505511545,141,0
496,6.075924518992388,141,0
497,6.076444035551053,140,0
498,6.076843107206812,140,0
499,6.077093179725953,140,0
500,6.077133183213172,140,0
501,6.076905568699815,140,0
502,6.076419943914954,140,0
503,6.075759135244611,140,0
504,6.075038685615817,140,0
505,6.074358123629665,140,0
