Step,Avg Distance to Center,Collisions,With Predator
0,86.24096848104811,0,0
1,86.15355827238652,2,0
2,85.99063918158394,2,0
3,85.77683619424539,2,0
4,85.52297070559369,2,0
5,85.23522234498552,0,0
6,84.91409200060075,0,0
7,84.56778616314539,0,0
8,84.19816818943657,0,0
9,83.80357919971082,0,0
10,83.3833921869553,0,0
11,82.94260410826142,0,0
12,82.47554022388766,0,0
13,81.9910078081155,0,0
14,81.48987924540916,0,0
15,80.97367329181515,0,0
16,80.44186330110175,0,0
17,79.89473825383728,0,0
18,79.3337479872568,0,0
19,78.76140589849321,0,0
20,78.17883546236433,0,0
21,77.58606625633158,0,0
22,76.97908001817663,0,0
23,76.36234204555629,0,0
24,75.73952500303253,0,0
25,75.11148023248332,0,0
26,74.47808666689915,0,0
27,73.8366187437041,0,0
28,73.18893727095974,0,0
29,72.53515859022592,0,0
30,71.87536986125846,0,0
31,71.2096281571969,0,0
32,70.54210828718645,0,0
33,69.87311080991186,0,0
34,69.20433737201326,0,0
35,68.53171837763075,0,0
36,67.85523233167308,0,0
37,67.17381229796243,0,0
38,66.48597656424363,0,0
39,65.7903351985305,0,0
40,65.0908633487366,0,0
41,64.38894686389172,0,0
42,63.68808023903876,0,0
43,62.990028830924295,0,0
44,62.30090335677274,0,0
45,61.621561043053234,0,0
46,60.94526803758459,0,0
47,60.274621444197024,0,0
48,59.60743258860467,0,0
49,58.94531024244603,0,0
50,58.29154732546847,0,0
51,57.642375058226385,0,0
52,56.994609085006786,0,0
53,56.352579559650785,0,0
54,55.719346341488844,0,0
55,55.09745296557117,0,0
56,54.485874873000135,0,0
57,53.88419812720831,1,0
58,53.288388496513896,1,0
59,52.697774397453564,1,0
60,52.11934190528263,1,0
61,51.55980910691201,1,0
62,51.021723490006174,0,0
63,50.512282989302996,0,0
64,50.02916907752157,0,0
65,49.57285126202011,0,0
66,49.14724818913624,0,0
67,48.75154089042302,1,0
68,48.37967730905573,1,0
69,48.02572417504783,2,0
70,47.69090447501795,3,0
71,47.38014158823234,2,0
72,47.0924389609105,1,0
73,46.82429039385658,1,0
74,46.576704620905886,1,0
75,46.347940500311275,2,0
76,46.13737467402667,1,0
77,45.94480408277023,0,0
78,45.77211664039842,0,0
79,45.62229499652624,0,0
80,45.497262254432684,1,0
81,45.395302356180544,1,0
82,45.31408432781227,1,0
83,45.2499025467061,2,0
84,45.20148288495797,2,0
85,45.162592259962906,2,0
86,45.145135213819835,1,0
87,45.15065075881637,1,0
88,45.18468949809863,1,0
89,45.246678354619085,1,0
90,45.332964150028445,1,0
91,45.44620940924493,1,0
92,45.58263867176856,2,0
93,45.73809971297741,2,0
94,45.90964606580385,2,0
95,46.09797983348084,2,0
96,46.30444423184591,1,0
97,46.5246770130478,0,0
98,46.755455012656235,0,0
99,46.995531640896026,1,0
100,47.240247231930205,1,0
101,47.48745995104852,1,0
102,47.73876703319049,1,0
103,47.99401067834189,1,0
104,48.25059060016341,2,0
105,48.508580528476905,2,0
106,48.775593009108576,2,0
107,49.05830538008744,2,0
108,49.36068752553786,1,0
109,49.68181394328254,2,0
110,50.021375800204616,2,0
111,50.38070720441481,0,0
112,50.75954137166361,0,0
113,51.155255136685774,0,0
114,51.5624477173532,1,0
115,51.98636789822475,2,0
116,52.42038466371294,3,0
117,52.866231337725615,2,0
118,53.32698732236937,2,0
119,53.80055346330855,1,0
120,54.28665111021959,1,0
121,54.78729161452048,1,0
122,55.307282395997426,1,0
123,55.85347726942128,3,0
124,56.42549510316009,2,0
125,57.01936458168014,3,0
126,57.631160348721316,3,0
127,58.25664740958289,3,0
128,58.891758876740006,2,0
129,59.53639448032142,1,0
130,60.1942315835526,0,0
131,60.86778476329357,0,0
132,61.55662670490437,1,0
133,62.26340268632854,1,0
134,62.98135616030109,3,0
135,63.710683836466366,3,0
136,64.44976073494998,3,0
137,65.19637982629338,3,0
138,65.94980445284892,2,0
139,66.70617750824796,0,0
140,67.4607646019214,0,0
141,68.21587710745088,0,0
142,68.97096677024378,0,0
143,69.72774377001225,0,0
144,70.48465858705096,0,0
145,71.24567237962273,0,0
146,72.01852498454254,0,0
147,72.79869578601983,0,0
148,73.58858354519062,0,0
149,74.3821792477352,0,0
150,75.1799824155724,0,0
151,75.98230800004517,1,0
152,76.79081689227684,1,0
153,77.60620354031681,1,0
154,78.42481669869085,1,0
155,79.24388811909168,1,0
156,80.0630508080398,1,0
157,80.88416032664023,0,0
158,81.70817592033754,0,0
159,82.53054795452684,0,0
160,83.35209506631831,0,0
161,84.17587345211967,0,0
162,85.00164369770192,0,0
163,85.83009943119586,0,0
164,86.66204203325393,0,0
165,87.49411404805485,0,0
166,88.32758901802386,0,0
167,89.16070582376192,0,0
168,89.99332231079526,0,0
169,90.82484255193086,0,0
170,91.65434112877115,0,0
171,92.4825226901894,0,0
172,93.30625182163907,0,0
173,94.12276544729117,0,0
174,94.93353220551607,0,0
175,95.74114863353938,0,0
176,96.54418747354707,0,0
177,97.342238425914,0,0
178,98.13244074586417,0,0
179,98.91354986390716,0,0
180,99.68720145459041,0,0
181,100.45197363047329,0,0
182,101.21005511872491,0,0
183,101.96137629461933,0,0
184,102.70467050241554,0,0
185,103.43961234140582,0,0
186,104.16296187857476,0,0
187,104.87750715222192,0,0
188,105.58594422322194,0,0
189,106.29120867125818,0,0
190,106.9939562870656,0,0
191,107.69808389414874,0,0
192,108.40629550928405,0,0
193,109.11730804927912,0,0
194,109.82846492642102,0,0
195,110.5368408890663,0,0
196,111.24363708472029,0,0
197,111.94895073413952,0,0
198,112.65144036781916,0,0
199,113.35131977049501,0,0
200,114.05003408028804,0,0
201,114.74677052248904,0,0
202,115.44219545295945,0,0
203,116.13708430439699,0,0
204,116.83146771032634,0,0
205,117.5226501752201,0,0
206,118.21159712676693,0,0
207,118.8968116250301,0,0
208,119.57750450692312,0,0
209,120.25423664024844,0,0
210,120.92696629116499,0,0
211,121.59743783313914,0,0
212,122.26332452681595,0,0
213,122.92509151041301,0,0
214,123.58481312554851,0,0
215,124.24270810711978,0,0
216,124.89860718748581,0,0
217,125.55204605398752,0,0
218,130.10183788875835,0,0
219,130.75365034594842,0,0
220,131.4047238284265,0,0
221,132.05186938081022,0,0
222,132.6955152520616,0,0
223,133.33846787544857,0,0
224,133.97852739867594,0,0
225,137.43285736650085,0,0
226,138.02588863089383,0,0
227,138.61639688665352,0,0
228,139.2043108926368,0,0
229,142.7068701524496,0,0
230,143.25531669380138,0,0
231,143.80706541097533,0,0
232,144.36132117041828,0,0
233,144.9197669121481,0,0
234,145.47555861130814,0,0
235,146.02829565243005,0,0
236,150.9311622719836,0,0
237,151.47531175104476,0,0
